anon_polygon_id,start,end,duration_days,severity,min_zscore,mean_zscore,cause,cause_confidence,climatology_source,explanation
AOI-0031,2018-04-02,2018-04-07,6,suppression,-1.23,-1.13,cold,0.4,polygon,"Средняя температура за период всего 7.3 градуса. Похолодание пришлось на фазу активного роста (день года 92): набор биомассы приостановился. Такое угнетение обычно обратимо, но сдвигает развитие на одну-две недели."
AOI-0031,2018-06-09,2018-07-05,27,suppression,-1.3,-1.11,drought,0.85,polygon,"Осадков за 30 дней выпало 13 мм при норме 31 мм, это 41 процентов от нормы. Наиболее вероятен дефицит влаги. При этом температура выше нормы на 2.5 градуса."
AOI-0031,2019-06-05,2019-07-08,34,suppression,-1.27,-0.93,drought,0.7,polygon,"Осадков за 30 дней выпало 3 мм при норме 31 мм, это 8 процентов от нормы. Наиболее вероятен дефицит влаги."
AOI-0031,2020-06-30,2020-07-16,17,suppression,-1.49,-1.02,drought,0.7,polygon,"Осадков за 30 дней выпало 11 мм при норме 33 мм, это 33 процентов от нормы. Наиболее вероятен дефицит влаги."
AOI-0031,2020-08-09,2020-10-17,70,suppression,-1.77,-1.17,drought,0.7,polygon,"Осадков за 30 дней выпало 3 мм при норме 37 мм, это 8 процентов от нормы. Наиболее вероятен дефицит влаги."
AOI-0031,2021-04-01,2021-09-22,175,critical,-2.25,-1.26,non_weather,0.35,polygon,"Осадков 43 мм при норме 25 мм (175 процентов), температура отличается от нормы на 0.1 градуса. Ни один погодный порог не превышен, хотя осадков заметно больше нормы. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0031,2022-07-28,2022-09-04,39,suppression,-1.34,-1.03,non_weather,0.35,polygon,"Осадков 10 мм при норме 16 мм (63 процентов), температура отличается от нормы на 2.1 градуса. Ни один погодный порог не превышен, хотя осадков заметно меньше нормы, температура отклонена от нормы на 2.1 градуса. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0031,2024-04-01,2024-07-20,111,critical,-2.09,-1.4,drought,0.7,polygon,"Осадков за 30 дней выпало 4 мм при норме 32 мм, это 12 процентов от нормы. Наиболее вероятен дефицит влаги."
AOI-0031,2024-08-29,2024-09-04,7,suppression,-1.51,-1.09,drought,0.85,polygon,"Осадков за 30 дней выпало 4 мм при норме 17 мм, это 26 процентов от нормы. Наиболее вероятен дефицит влаги. При этом температура выше нормы на 2.7 градуса."
AOI-0032,2010-04-26,2010-05-04,9,suppression,-1.16,-1.05,drought,0.7,polygon,"Осадков за 30 дней выпало 18 мм при норме 37 мм, это 48 процентов от нормы. Наиболее вероятен дефицит влаги."
AOI-0032,2010-06-02,2010-06-13,12,suppression,-1.13,-1.04,non_weather,0.35,polygon,"Осадков 67 мм при норме 37 мм (181 процентов), температура отличается от нормы на 2.5 градуса. Ни один погодный порог не превышен, хотя осадков заметно больше нормы, температура отклонена от нормы на 2.5 градуса. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0032,2012-04-10,2012-04-16,7,suppression,-1.45,-1.28,drought,0.85,polygon,"Осадков за 30 дней выпало 7 мм при норме 19 мм, это 38 процентов от нормы. Наиболее вероятен дефицит влаги. При этом температура выше нормы на 4.0 градуса."
AOI-0032,2015-04-08,2015-04-25,18,suppression,-1.27,-1.16,non_weather,0.35,polygon,"Осадков 37 мм при норме 31 мм (119 процентов), температура отличается от нормы на -1.5 градуса. Ни один погодный порог не превышен, хотя температура отклонена от нормы на -1.5 градуса. Погода объясняет просадку лишь отчасти: проверяйте агротехнику, состояние семян, болезни и вредителей."
AOI-0032,2016-04-12,2016-04-19,8,suppression,-1.18,-1.09,drought,0.7,polygon,"Осадков за 30 дней выпало 9 мм при норме 23 мм, это 41 процентов от нормы. Наиболее вероятен дефицит влаги."
AOI-0032,2018-04-05,2018-05-04,30,suppression,-1.17,-1.05,drought,0.7,polygon,"Осадков за 30 дней выпало 18 мм при норме 37 мм, это 48 процентов от нормы. Наиболее вероятен дефицит влаги."
